ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
1;5831,00;Lindor Geschenk Milch;13632
2;5841,00;Lindor Geschenk Dark 60%;13632
3;5931,00;Lindor Kissen Milch Valent.;15740
4;5941,00;Lindor Tube Milch Muttertag;9642
5;5961,00;Lindor Kissen Milch ;7052
6;5981,00;Lindor Tube ASS Mischung;9642
7;8641,00;Lindor Beutel 1 kg gemischt-Wagi;4550
8;8647,00;EX FR,DE,UK,NL Lindor Bag Ass-Wagi;4550
9;8651,00;Lindor Beutel 1 kg Vollmilch;6282
10;8656,00;EX FR, DE, UK, NL Lindor Bag ;6282
11;8657,00;EX DE Lindor Bag Milk;6282
12;9421,00;Lindor Blechdose Wint Milch;9642
13;9427,00;EX GE Lindor Tin Milk;9642
14;9441,10;Lindor PrÑsent Caramel;13632
15;9441,00;Lindor PrÑsent Caramel;13632
16;9451,00;Lindor Herzbox 325 g Milch;9968
17;9471,00;Lindor kl. Herz 50g Milch;12320
18;9471,10;Lindor kl. Herz 50g Milch;12320
19;9771,00;Lindor Kissenp. Mischung;9184
20;9777,00;EX GE Lindor Assorted Pillow Box;9184
21;9781,00;Lindor Kissenp. Milch;9660
22;9787,00;EX DE Lindor Milk Pillow Box;9660
23;9789,00;EXˇ SE,FI,DK,NO,DE,UK Lindor M. ;9660
24;9791,00;Lindor Kissenp. Dark;9660
25;9797,00;EX DE Lindor Dark Pillow Box;9660
26;9901,00;Fioretto Misch. 253g Kissp.;10496
27;10091,00;Lindor PrÑsent Mischung;13632
28;10091,10;Lindor PrÑsent Mischung;13632
29;10481,00;FK und Lindor 225g;8112
30;10487,00;EX GE Frog Prince & Lindor;8112
31;10521,00;Kissenpackungen I mog Di ;11760
32;10551,00;Lindor Vday Pras. ;12000
33;10561,00;Lindor Vday Rosenbox;8100
34;10571,00;Lindor Mini Gift ;11160
35;10574,00;EX IT Lindor Mini Heart Box;11160
36;10577,00;EX GE Lindor Little Presents;11160
37;10641,00;Lindor Champagner Box ;8400
38;10647,00;EX De Lindor Silvester Present;8400
39;10661,00; Lindor Design Mini Gift ;15930
40;10667,00;EX DE Lindor Love Box;15930
41;10671,00; Lindor Design Tin 225 g;9642
42;10681,00;Lindor Design ;10632
43;10687,00;EX DE Lindor Love Present Box;10632
44;11511,00;Herz TÑfelchen I mog Di;130000
45;11671,00;Lindor Glitzerbox Assorted;10720
46;11681,00;Lindor Glitzerkîcher Milk;9224
47;70693,00;Lindor Gold Tasche;8688
48;70699,00;Lindor Gold Box;10070
49;922051,00;Z VP Lindor Gold Box 70699;10070
50;70197,00;Lindor Gold PrÑsent;10800
51;76254,00;EX DE Lindor Gold PrÑsent;10800
52;70903,10;Hello AK EV;6000
53;75441,10;Kl. Weihn - Freunde;25056
54;75441,20;Kl. Weihn - Freunde;25056
55;78521,10;Alk. FlÑschchen Williams;27624
56;78521,20;Alk. FlÑschchen Williams;27624
57;70917,00;Schneefl.Bonbon klein;7440
58;70885,10;Black-White Tischkal.;11000
59;70969,00;Black-White Gru·k.Engel;12720
60;78527,10;EX DE Xmas Alcohol Bottles;27624
61;78527,20;EX DE Xmas Alcohol Bottles;27624
62;72767,10;EX DE Teddy Friends;25056
